Genotype	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	TotalKernelWeight	UpperLeafAngle
L317	3.8312353090471385	25.77009004420717	18.262479899729026	79.43431158646403	75.76426972465765	35.916078564230375	84.71288511211733	153.08524790558155	24.048115892688706	13.479857281405259	65.45559162290562	49.05192684660506	951.932222849221	897.2846316609359	6.26764954432587	666.9278134962933	91.99101360933568	207.87968790328267	65.02206817394782	4.567160606856119	13.695349436462225	66.86206956081469	159.55973195678206	1.274837456560409	132.4293030983953	7.0318768127364955	29.770256304892776	19.49574019089201	7.77255450766404	161.63338634103508	293.20503706808427	14.517872581267142	0.583190253830891	55.94671582114381	48.89359249494471	57.78933206792377
L578	4.673715610251903	26.647862166566593	17.17771954325738	85.88972607639332	85.5051007277568	36.97802352370731	87.32953713926527	119.25028562787422	NA	14.678060995985549	57.05509885561031	18.832975111522817	1036.112082811728	1024.816160953844	5.381224592738501	821.4851359459716	88.5290218186469	229.5267382146867	69.60777674390111	5.247826558647157	15.60053467057532	66.2451094550635	177.49872230690528	1.2827595634017155	99.06036377790527	7.031876812736495	28.624714764441407	21.11949860905299	6.963116582222134	211.3565583220027	330.61253706063525	9.093160374669676	0.6220489693506671	NA	41.57017916653625	76.22725818263027
M14	4.414127960300378	28.043629623051597	16.168741344130165	71.8435203394607	70.39179870859314	40.042705619581	45.2252272478848	138.7867392914036	22.67881323516761	15.17857501851236	69.8806294300687	23.89144466896394	837.1285712509475	817.3574635503617	6.932468258016397	629.9748293811898	93.05824416135252	238.21238591531716	56.505752258320236	4.862544379041882	15.368340075920024	66.68368383011965	117.78076758873182	1.7352027405454011	120.23031922185633	6.4512931503295015	33.43598923433715	18.41323457878469	7.9344420927524215	241.6937253968397	340.767670638023	9.748894817225413	0.5443315383111148	62.287030345721725	53.126839880101464	36.62109422974919
M162W	5.139442192867269	25.871860901986896	11.687759449104721	84.55455812934967	85.51209005779948	39.07819733446884	73.02477641136126	106.07303204857249	17.68409454245565	13.672354190883441	58.38768780212467	-8.686742618516305	999.7988175406159	1021.1321128712633	6.433854222748502	745.6062089679167	99.09720728496005	233.124907435349	55.850651034041206	4.367119434805477	13.059590141508075	67.84911636497081	135.51749101865764	1.9246562902203657	88.0021138971904	7.394741601740867	24.958981834997036	16.24822335457005	7.77255450766404	186.09248371740833	316.5042311166528	8.318201488012896	0.6047575083400404	60.71177781954073	47.040135355400345	49.968552994285666
M37W	4.9773289868730615	26.424547021293	16.94721290523665	80.66585008804162	76.89624199456217	36.38527448149559	66.53918290259585	134.12906443014379	20.378107878393582	11.449434602933536	63.36952630477034	37.69735895952539	948.0092776298602	908.6714467070242	5.713633949583765	830.0807798440059	95.19032914327019	279.4329214942069	62.401663276831634	3.6234941325073162	14.786145594397993	67.78045618232629	141.17329968332544	3.03952268595473	115.72854905174319	7.177022728338244	21.064140597462387	13.271332921274919	7.826517036026834	242.43583947455505	390.2062143861964	11.041252562065692	0.5443315383111148	59.16314868609881	46.20105183426532	42.749284849683775
MEF156-55-2	5.086855390854663	24.27151467335613	19.66492062741358	63.43943003027844	64.15104954851822	39.9234624065222	56.68886940591335	151.0699003632638	NA	14.678060995985549	104.92792783198293	-0.9010217344400466	712.0469025541838	730.9396588264811	7.818893209603766	608.6796009701076	72.00585999393849	200.30611718494447	64.92625665171869	4.064899548740452	15.288364431189253	66.31363878315095	115.52864256750345	0.8790135945325028	131.03089501211485	6.814157939333872	19.231274132740204	16.51884975759688	7.017079110584927	161.55138623418057	264.5640237642652	8.915302870226224	0.49939961637186614	NA	81.452063511582807	38.706640212265995
Mo17	5.511252949789837	21.56540356587991	13.415041442741929	74.5614041819489	71.89102168659045	35.01379194195112	59.16943028506333	153.35862635863447	22.869016571132875	10.673697103456327	74.80747484882798	38.6318434912605	876.4994857802177	836.6421391488415	6.319093849520264	611.5719835142799	89.26573481352581	281.8122415561305	56.419965191239584	3.7861757693114604	13.834063920006505	67.09365468870197	138.55454401036104	0.7248894737352067	133.8793868155312	7.814628000321514	21.04022269817432	14.675021518056738	7.458415503343437	198.68662386831124	354.6974508121768	4.941542776717006	0.5807198435732905	65.93876093590477	60.685317472039145	53.03781711094875
Mo18W	4.11048572105321	26.807002119394422	12.502706729088686	88.22061872136439	85.64093361277624	37.109388331939336	74.24627700352555	120.7358372359325	20.071112368076733	14.580471182880252	48.79368210315798	42.24805174124878	1044.8655729617767	1011.5748772113134	5.9352401874806064	896.0843058983953	92.56367390553983	262.8968559869582	57.16085348259928	4.198480652407483	13.081334218437302	66.76973276225384	143.27301703364384	3.5119604026212254	98.1308088782666	7.539887517342615	26.562739991628945	12.73008011522126	7.3948168091244835	272.12763991944564	416.96005269289304	23.400093666794856	0.5443315383111148	56.361895332917065	38.60357079593615	66.98504155137246
MO1W	4.297097017747864	26.33522175308384	14.151473599426932	76.77753465001287	74.02771343663679	39.49906377514895	54.97820298543619	112.34520606409401	21.983443559982007	13.62278555067547	76.00805114333093	37.79064443509449	905.7665074249956	872.3948334595736	7.5418854122327135	684.4444877846215	97.89982666562408	215.2501313068975	60.43635960399451	3.913913387896903	14.453140323451386	66.64522350885676	129.11065623091497	1.6612550540283555	101.88212751929083	5.435271741117262	27.479173223990042	19.22511378786518	7.826517036026833	221.29374989353502	325.4609564669819	7.841303711608723	0.5443315383111148	65.11876904002263	61.43404202209767	38.973120656213034
Mo24W	3.7719442988013254	32.583449225452064	28.067113165420622	81.27778946073629	77.22948909267522	43.16071717986909	97.3203903338301	143.56263194165288	27.5579827346194	16.443616686325953	89.38239983557699	53.603734974657115	974.0260705003369	918.8311023891326	7.37568073381008	891.6051563086854	88.659171885966	235.04006202054026	68.47713560995876	4.465766171272789	13.247985151684762	66.1631230271027	171.59773863910164	3.485664867883635	116.79088366173323	6.814157939333873	24.699600420079932	21.792877551797183	7.826517036026833	258.7726962277977	412.5695010505748	14.458260359216618	0.6997664003902194	74.44280111871713	60.567563998475755	74.56028553777476
