Gen	K_5
PI644100	Pop1
PI644101	Mixed
PI644102	Mixed
PI648423	Pop2
PI648424	Pop2
PI648425	Pop2
PI648426	Pop2
PI648427	Pop2
PI648428	Pop2
PI648429	Pop2
PI648430	Pop5
PI648431	Pop2
PI648432	Pop5
PI648433	Pop2
PI651530	Mixed
PI651531	Mixed
PI651532	Mixed
PI651533	Pop2
PI651534	Mixed
PI651535	Pop5
PI651536	Mixed
PI651537	Pop5
PI651538	Pop5
PI651539	Pop5
PI651540	Pop2
PI651541	Pop2
PI651542	Mixed
PI651543	Pop5
PI651544	Pop2
PI651545	Pop5
PI654048	Mixed
PI654049	Pop3
PI654050	Pop3
PI654051	Pop3
PI654052	Pop3
PI654053	Pop3
PI658071	Pop5
PI658072	Pop5
PI658073	Pop5
PI658074	Pop5
PI658075	Pop2
PI658076	Pop5
PI658077	Pop5
PI658078	Pop2
PI658079	Pop2
PI658080	Pop2
PI658081	Pop2
PI658082	Pop5
PI658083	Pop5
PI658084	Pop5
PI658085	Pop5
PI658086	Pop5
PI658087	Pop5
PI658088	Pop2
PI658089	Pop2
PI658090	Pop2
PI659678	Pop5
PI659679	Pop2
PI659680	Pop2
PI659681	Pop2
R109B	Pop5
R168	Pop5
R177	Pop5
R229	Pop2
R4	Pop5
SA24	Pop4
SAN_349A-1	Mixed
SC213R	Mixed
SC276Q2	Mixed
SC357	Mixed
SC54	Mixed
SC55	Mixed
SD40	Pop5
SD44	Pop5
SG1533	Pop4
SG18	Pop4
T232	Mixed
T234	Mixed
T8	Pop5
TR_9-1-1-6	Mixed
TX204	Pop5
TX205	Pop5
TX303	Mixed
TX325	Mixed
TX601	Pop3
TZI10	Pop3
TZI11	Pop3
TZI16	Mixed
TZI18	Pop3
TZI25	Mixed
TZI8	Pop3
TZI9	Pop3
U267Y	Mixed
VA102	Pop2
VA14	Pop5
VA17	Pop5
VA22	Pop5
VA26	Pop5
VA35	Pop5
VA59	Pop5
VA85	Pop5
VA99	Pop5
VAW6	Mixed
VEN_981A-1	Mixed
W117HT	Mixed
W153R	Pop5
W182B	Pop5
W22	Pop5
W22R-R-STD_CS-2909-1	Pop5
W64A	Pop5
WD	Mixed
WD456	Mixed
WF9	Pop5
YU796_NS	Mixed
