Gen	K_5
AMES26501	Mixed
AMES26511	Mixed
AMES26741	Pop5
AMES26742	Mixed
AMES26743	Pop5
AMES26744	Pop2
AMES26745	Pop5
AMES26746	Pop5
AMES26747	Mixed
AMES26748	Pop5
AMES26749	Mixed
AMES26750	Mixed
AMES26751	Mixed
AMES26752	Mixed
AMES26753	Mixed
AMES26754	Mixed
AMES26755	Pop5
AMES26756	Pop5
AMES26757	Pop5
AMES26758	Pop5
AMES26760	Pop2
AMES26761	Pop2
AMES26762	Pop2
AMES26763	Pop2
AMES26764	Pop5
AMES26765	Pop5
AMES26766	Pop5
AMES26767	Pop5
AMES26768	Pop5
AMES26769	Pop5
AMES26770	Mixed
AMES26772	Pop5
AMES26773	Pop5
AMES26774	Mixed
AMES26775	Mixed
AMES26776	Mixed
AMES26777	Mixed
AMES26778	Mixed
AMES26779	Mixed
AMES26780	Pop5
AMES26781	Pop5
AMES26782	Pop5
AMES26783	Pop5
AMES26784	Pop5
AMES26785	Pop5
AMES26786	Pop5
AMES26788	Pop5
AMES26789	Mixed
AMES26790	Pop5
AMES26791	Mixed
AMES26792	Mixed
AMES26793	Pop5
AMES26794	Mixed
AMES26795	Pop5
AMES26796	Mixed
AMES26797	Mixed
AMES26798	Pop5
AMES26799	Mixed
AMES26800	Mixed
AMES26801	Pop5
AMES26802	Pop5
AMES26803	Mixed
AMES26804	Pop5
AMES26805	Mixed
AMES26806	Mixed
AMES26808	Pop5
AMES26812	Pop1
AMES26813	Pop1
AMES26815	Pop1
AMES26909	Pop5
AMES27017	Pop5
AMES27018	Pop5
AMES27019	Mixed
AMES27020	Mixed
AMES27021	Pop2
AMES27024	Mixed
AMES27025	Mixed
AMES27026	Mixed
AMES27027	Mixed
AMES27028	Mixed
AMES27029	Mixed
AMES27031	Pop2
AMES27032	Mixed
AMES27033	Mixed
AMES27034	Mixed
AMES27035	Pop2
AMES27036	Mixed
AMES27037	Mixed
AMES27039	Mixed
AMES27040	Mixed
AMES27041	Mixed
AMES27042	Mixed
AMES27043	Mixed
AMES27044	Mixed
AMES27045	Pop2
AMES27046	Mixed
AMES27047	Mixed
AMES27048	Mixed
AMES27049	Mixed
AMES27051	Mixed
AMES27052	Mixed
AMES27053	Mixed
AMES27056	Mixed
AMES27057	Mixed
AMES27075	Pop3
AMES27077	Pop3
AMES27109	Pop5
AMES27117	Pop1
AMES27119	Pop1
AMES27128	Pop3
AMES27129	Pop3
AMES27142	Pop2
AMES27150	Pop2
AMES27152	Pop2
AMES27154	Pop2
AMES27157	Mixed
AMES27161	Pop2
AMES27162	Mixed
AMES27163	Mixed
AMES27181	Mixed
AMES27182	Pop2
AMES27194	Mixed
AMES27197	Mixed
AMES27198	Mixed
AMES27199	Mixed
AMES27200	Pop5
AMES27201	Pop5
AMES27202	Pop2
AMES27203	Pop2
AMES27204	Mixed
AMES27205	Pop2
AMES27206	Pop2
AMES27207	Mixed
AMES27208	Mixed
AMES27209	Pop5
AMES27210	Pop5
AMES27211	Pop5
AMES27212	Pop5
AMES27213	Pop5
AMES27214	Mixed
AMES27215	Mixed
AMES27216	Pop2
AMES27217	Pop2
AMES27218	Pop2
AMES27219	Pop2
AMES27444	Pop1
AMES27445	Pop1
AMES27446	Mixed
AMES27447	Mixed
AMES27450	Pop2
AMES27451	Pop2
AMES28170	Pop5
AMES28186	Pop1
AMES28290	Mixed
AMES28291	Pop3
AMES28360	Mixed
AMES28361	Pop5
AMES28362	Pop5
AMES28364	Pop1
AMES28365	Pop5
AMES28366	Mixed
AMES28367	Mixed
AMES28411	Pop5
AMES28412	Pop5
AMES28413	Pop5
AMES28414	Pop2
AMES28415	Pop2
AMES28416	Pop2
AMES28417	Pop2
AMES28418	Pop2
AMES28419	Pop2
AMES28420	Pop2
AMES28421	Pop2
AMES28422	Pop2
AMES28423	Pop2
AMES28424	Pop5
AMES28425	Pop5
AMES28426	Pop5
AMES28927	Mixed
AMES28928	Mixed
AMES28929	Mixed
AMES28930	Mixed
AMES28931	Mixed
AMES28932	Mixed
AMES28933	Mixed
AMES28934	Mixed
AMES28935	Mixed
AMES28936	Mixed
AMES28937	Mixed
AMES28938	Pop5
AMES28940	Mixed
AMES28941	Mixed
AMES28942	Mixed
AMES28943	Mixed
AMES28944	Mixed
AMES28945	Mixed
AMES28946	Pop5
AMES28947	Pop5
AMES28948	Pop5
AMES28949	Mixed
AMES28950	Mixed
AMES28951	Mixed
AMES28952	Mixed
AMES28953	Mixed
