Gen	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	UpperLeafAngle	TotalKernelWeight
493	5.330830714	24.30390643	17.01698142	74.0752928	73.3525195	37.84150981	57.04825066	149.8000352	23.35808671	12.05692266	86.79275412	17.25142414	884.3609615	873.8254507	6.8173593	652.5721703	87.21895504	271.3120721	64.89149093	4.616410029	13.81076262	67.64335884	125.635414	1.07752158	127.6683997	7.255227132	24.90866335	14.39181701	7.605995834	233.9390919	362.7479573	7.99673725	0.566304598	64.7147679	67.66694166	67.89807815
494	4.550464455	25.87395459	15.86967456	88.02588609	86.92777944	36.84264938	79.51353328	124.8875353	20.57290698	13.21543443	62.3047036	22.01819864	1023.52648	1018.069266	5.98350657	830.0605278	91.82811982	231.9170456	65.29212523	4.506785799	13.99633649	66.21870489	149.095924	2.943344721	108.7076976	7.523818956	22.76610631	14.65398519	7.588412538	218.4441649	342.6875335	14.02772038	0.590137761	60.447167	64.40584162	47.01289124
495	4.70366545	25.08177169	15.38576511	80.97920272	79.65685027	36.55197121	69.69889898	124.6052373	20.98156213	13.10987016	63.61735085	23.22376855	950.1854374	938.5463831	6.422308228	750.2717237	89.12890103	234.458975	62.90119953	4.48132119	14.30483391	66.43543266	140.7184349	2.286616109	109.4094438	6.804558545	23.50817105	15.69092966	7.569003896	208.9588103	341.6407484	12.97038082	0.582790562	60.42670885	60.3144957	48.87028034
496	4.258208316	26.27209659	16.05510041	86.08019526	84.7280173	36.82659543	76.90020939	126.1486556	20.63892024	13.83092377	61.55906652	23.94733777	1002.693331	991.4456069	6.426151478	817.2076653	91.03206281	224.9696951	63.53803621	4.699501052	14.21273524	65.9277398	145.8468902	2.575963988	108.9713619	7.060424643	23.80780919	15.44778064	7.639705966	208.6011739	334.5696429	13.06134671	0.584271531	60.40353969	60.79315393	46.51405884
497	4.352585554	24.317542	13.71333506	72.88730891	71.13159565	35.02715248	50.88592751	120.8155188	20.93204022	13.21679817	55.10256766	24.65922204	858.6745081	833.8485376	6.438381059	645.7049534	72.94988021	196.7158783	58.83791872	5.078211008	14.95222574	65.07688767	119.6287787	2.303841308	109.3353048	5.699599307	24.51481672	15.52659152	7.497501735	181.2093966	280.9932324	13.1603732	0.587627803	60.02949082	42.35331766	42.75265009
498	4.47956287	24.68814403	14.75987806	73.23503387	71.89171096	35.86496021	51.42187317	126.7153379	20.72078326	13.34395991	62.72475655	23.17610616	853.5639506	834.1848784	6.866869301	633.9590148	84.66212342	220.4004305	59.27005932	4.230444811	14.03935928	67.77748809	125.716519	1.359944832	111.2942023	6.111395673	25.08486674	15.39494997	7.552790468	184.4885949	307.5508604	9.907152249	0.561560756	58.88263826	50.34130974	47.54827946
499	4.598583087	26.57350369	16.10351591	75.66322772	73.91139193	38.39087399	62.40517698	127.4695618	21.00404947	14.5993738	70.2549112	24.40839584	889.9172125	864.4865017	6.659490499	720.3651934	79.76650646	222.9914869	62.12655574	4.033057612	14.14554183	66.48209131	135.9713803	1.489259525	110.6769441	6.86628718	23.5401278	15.15756196	7.699707599	185.8592417	303.015937	6.761453801	0.576516521	61.53942862	57.06365508	53.64458326
500	4.45408529	24.7981402	14.95216822	71.34107316	70.03568248	35.86881053	53.04401664	121.9603103	20.84915206	13.25806368	60.56085553	23.25478437	832.5983417	811.4905705	6.791912444	646.9974324	78.40328546	212.7007056	59.39084314	4.391405362	14.57286148	66.31264883	119.626204	1.43937913	108.5680849	6.046176137	23.67063045	15.75214205	7.57385545	189.0281821	301.0367606	10.32562752	0.578766101	59.73064947	50.57692176	46.26956109
501	5.043402387	25.71316476	16.83948967	75.24596668	72.858007	37.83034566	55.75965056	132.1312651	20.72486597	13.88521384	70.82318786	29.53591772	891.0804833	853.8060829	6.521219011	681.6660121	77.484742	225.2429648	59.52530873	3.850005666	14.1417198	65.70752982	127.1114686	1.074379307	112.9763441	6.448156525	24.9927553	15.38756225	7.689398654	181.0343949	288.2558081	6.430215243	0.570046791	61.93556372	46.12349083	53.82236461
502	4.528172182	25.83825669	15.18213115	85.81860672	84.65728459	36.55938801	74.4906808	123.8534752	20.517694	13.34724165	60.57106039	22.90318565	998.785284	989.4862579	6.124359345	797.5122277	88.74462617	227.4160535	63.90416303	4.468759959	14.14427895	66.1373792	144.2983233	2.744971792	107.9717432	7.292905277	22.84235965	14.83680387	7.599536082	211.6941033	336.1917395	13.6193742	0.585279558	59.90366099	62.71488306	45.93965772
503	4.638889025	25.67078162	15.87189189	86.18770836	84.79868272	36.81699963	75.09040829	124.7832477	20.58431592	12.92479088	62.21207344	22.07052464	1001.832335	994.6285467	6.062487316	816.8669108	90.60638971	226.1706747	64.36707297	4.514840349	14.01387958	66.16904411	145.8509917	2.736247536	109.2671362	7.250564022	22.70741258	14.85153076	7.594909094	215.6754952	335.0400264	13.52208686	0.589433132	60.12972219	64.41054689	46.97960657
504	4.431875741	25.68865463	15.68290217	87.21005155	85.82998379	36.25296196	79.80018064	124.8061545	20.59448207	13.12161363	60.75212711	23.8809022	1014.148795	1005.531334	6.098724	820.8477795	90.72170718	223.6300663	65.43865413	4.58942874	14.01551734	66.10188571	147.4641876	3.24856068	109.0143254	7.34152356	22.62410566	14.78284886	7.600490853	215.2985899	336.2889484	14.27351984	0.58862744	60.08104534	63.79188963	45.73951923
505	5.163040606	21.92496953	13.78131402	74.70107167	72.13245221	34.68829617	58.74729924	147.48079	21.84011381	10.77632551	68.45065137	29.19610597	878.0133883	839.0309826	6.138120284	615.0500965	88.59747389	281.5282507	58.50336349	3.915269958	13.43383982	67.08256576	137.8138723	0.748915971	123.7830297	7.62868314	22.22799576	14.81198616	7.426695538	194.5649234	353.5277479	5.116214552	0.578867594	59.99685697	50.915926	53.98363217
