Gen	EarHeight	PlantHeight	MiddleLeafAngle	UpperLeafAngle
226	63.18288962778123	141.0058554558516	54.33020679981353	48.121713113634456
227	108.27744197036476	192.49707228382414	64.85028815574685	61.522050514029836
228	90.15960332589026	175.12222604936457	65.00285987987576	59.930315426048416
229	89.96539584350127	175.5812303665099	61.04555074526436	74.73485114411683
230	82.85580252442858	171.3478175794339	66.74550716955247	61.34523008540395
231	105.23242282139088	187.61907752192977	63.506294228342036	60.87658229365607
232	108.55657186571214	191.47492013348742	63.844826090474506	60.66859329325105
233	83.64017742983033	172.11069741248457	61.872980054966575	64.36225892861137
234	108.72312966131815	192.36037855265357	62.5858240831537	61.271756886562585
235	90.79778752824589	176.61420395890104	62.05507866245737	56.27146041364932
236	87.65495510571064	178.00966459667006	63.13930025494061	59.25444703843224
237	76.79816129962565	160.25029190209025	56.22969350704808	47.17475226014715
238	119.80721906540188	180.05172275621084	62.39017014035781	58.037166068261655
239	97.56406586176243	177.61597805287158	63.24471469847912	58.16570880287465
240	68.32017721649247	148.67186167571273	58.49379238878754	52.91467152077615
241	93.86413159019438	175.00771043442194	63.760650866924784	59.60960034211342
242	80.24024615281952	163.46209496145275	60.15725902507193	54.05083822659943
243	82.64905804730732	165.44803296904178	62.50256477511457	56.119165516050344
244	91.02276659365208	167.20181125325422	58.436336736885345	51.6209099550444
245	91.60515190820881	173.16590865880517	61.281663557907144	60.740719402026826
246	76.09617711911447	165.1837579912266	61.53263029113672	55.051283969516014
247	80.54088551359251	163.93218247424227	54.36585034860111	58.30975485815903
248	80.78952069499043	151.46167915891073	50.300441470173325	53.117734755059516
249	97.79098361752592	174.2841691754487	49.85217795398335	48.95034554637551
250	88.82905590378603	162.1352958159783	54.0379985599358	49.236310596065614
251	84.99481142925703	165.93457236068568	55.11746633945736	47.03419164261003
252	75.98581495504664	166.5368765724523	62.81546308183256	53.943415065238966
253	107.10448513711691	178.75245664685593	57.250208222136756	51.59134019360922
254	105.62834874776236	188.88364874011035	64.12224925657372	61.880527605709055
255	86.32345724352743	167.07824828361944	65.99771087572496	57.945617986313806
256	68.46846229772146	145.42952256400156	56.75677663313493	43.343838237047876
257	78.56077387166064	159.78367317555242	52.51607640295983	41.68024005935882
258	66.41691193731715	139.27554137333283	59.83363964252604	43.32241249033479
259	71.87373348034163	148.30736361864217	59.75427096458365	55.368325517059894
260	85.75141635780307	170.1162663156494	62.50815416735513	59.05390106677547
261	67.43785123325995	159.17539433663148	65.98378426721489	55.74548712444347
262	95.14281169467324	178.4155061938823	63.412967010849044	59.36862458280277
263	105.28993646638072	188.1752923985484	63.364892617128525	61.93956899939901
264	101.78071886158625	184.73942387906678	62.708656828805154	59.83112106688892
265	111.9848243657185	194.93151720402906	64.52775234033146	63.841622031223274
266	71.49512556177797	159.97740686021623	60.88139956680219	42.58934148673423
267	102.4013926092329	182.9493867750324	61.97797553558179	58.2534489063286
268	85.44344863819356	168.447083939299	62.45739120003172	57.47554893085537
269	72.03236672867432	143.70708934865854	56.58101347908483	59.083305532466
270	71.03344135221927	160.78350011113605	58.993854725891296	57.730124245627565
271	90.30258357979477	167.2865804545353	61.53739199357942	54.62606522880073
272	91.53059356179183	167.3310475591005	61.730810609094526	55.082285901263646
273	86.7416382936463	169.67302860407742	61.29419733063781	69.40424550421116
274	74.07269057664269	164.6441629814601	60.262773291212014	72.27406568464706
275	105.38098126993407	187.68075220588628	63.09640573707268	60.26201320802982
276	89.92949869117957	175.74504861565782	61.088965155039595	55.440362023664875
277	88.00173723338341	167.44787674112257	61.0780235894156	56.415859805747644
278	90.76254030441666	176.26534666374826	64.41345691950981	58.87994229086116
279	84.98274834879211	157.3759552921429	56.36999302965187	48.669139537870095
280	73.33171319989823	161.159756412565	59.905028029722835	44.926641120317484
281	89.35092498172163	170.44242938975268	63.96189672939628	59.390232029437755
